Datetime,Value,Temperature,Humidity,Direction,Speed,Rainfall,Pressure,PM 2.5
7/2/2023,75%,35.56,80,270,1.61,0,1004.2,52
7/2/2023,IQR,14.45,55,135,1.61,0,998.3,11
8/2/2023,Mean,22.5395092,71.1993865,38.51226994,0,0,715.4920245,17.12576687
8/2/2023,std,0.277411347,29.2496033,15.81900808,0,0,452.6613595,2.135101676
8/2/2023,Min,22.22,0,0,0,0,0,12
8/2/2023,Max,22.78,84,45,0,0,1002.4,23
8/2/2023,25%,22.22,83,45,0,0,4.5,16
8/2/2023,50%,22.78,83,45,0,0,1002.3,17
8/2/2023,75%,22.78,83,45,0,0,1002.3,18
8/2/2023,IQR,0.56,0,0,0,0,997.8,2
9/2/2023,Mean,30.61215295,42.34080717,52.68593285,0.907263625,0.046105263,697.945664,31.08208638
9/2/2023,std,7.964896243,31.84470924,78.51999009,1.551219266,0.364985511,459.8046748,7.950458657
9/2/2023,Min,21.11,0,0,0,0,0,12
9/2/2023,Max,43.89,89,315,72.42,17.78,1004.8,58
9/2/2023,25%,22.22,4,0,0,0,4.5,28
9/2/2023,50%,28.33,36,45,0,0,999.8,32
9/2/2023,75%,39.44,75,45,1.61,0,1002.3,35
9/2/2023,IQR,17.22,71,45,1.61,0,997.8,7
10/2/2023,Mean,29.14357328,43.55415778,44.15469083,1.951536548,1.449679804,677.7166513,40.38167152
10/2/2023,std,6.267654793,33.85039114,59.61856248,9.380049775,4.837060664,467.7667603,7.452269179
10/2/2023,Min,21.11,0,0,0,0,0,29
10/2/2023,Max,43.89,90,315,144.84,22.86,1005.1,66
10/2/2023,25%,24.44,2,0,0,0,8.5,35
10/2/2023,50%,25.56,42,45,0,0,1000.8,37
10/2/2023,75%,31.67,78,90,3.22,0,1002.7,46
10/2/2023,IQR,7.23,76,90,3.22,0,994.2,11
11/2/2023,Mean,28.95528439,53.28083327,47.94112773,1.176890655,0.883079589,756.7531774,37.34607707
11/2/2023,std,7.654000505,32.34243308,62.93648997,1.681162225,4.389073647,430.7566904,4.32587655
11/2/2023,Min,20.56,0,0,0,0,0,28
11/2/2023,Max,43.33,88,315,4.83,27.43,1005.3,53
11/2/2023,25%,22.22,29,0,0,0,998.3,34
11/2/2023,50%,26.67,61,45,0,0,1002,36
11/2/2023,75%,36.67,85,45,3.22,0,1003,39
11/2/2023,IQR,14.45,56,45,3.22,0,4.7,5
12/2/2023,Mean,30.50584464,51.04669709,64.03469111,4.858771375,0.473334841,775.040023,39.21493752
12/2/2023,std,8.039594496,31.18089956,55.45377763,13.22975574,3.352879408,419.7128142,11.0163074
12/2/2023,Min,21.11,0,0,0,0,0,16
12/2/2023,Max,43.89,90,315,72.42,80.01,1005.3,77
12/2/2023,25%,23.33,29,45,0,0,999.4,33
12/2/2023,50%,28.33,47,45,1.61,0,1001.9,40
12/2/2023,75%,39.44,86,90,4.83,0,1003.1,43
12/2/2023,IQR,16.11,57,45,4.83,0,3.7,10
13/2/2023,Mean,21.81932879,54.55344085,80.58635544,0.357538816,0,640.096133,61.53711309
13/2/2023,std,1.431066224,41.33246417,30.11983391,1.830537644,0,480.728137,216.0058818
13/2/2023,Min,20,0,0,0,0,0,22
13/2/2023,Max,29.44,89,315,144.84,0,1005.4,135
13/2/2023,25%,21.11,0,90,0,0,6.9,31
13/2/2023,50%,22.22,86,90,0,0,1002.6,37
13/2/2023,75%,22.22,87,90,0,0,1003.4,41
